"AU_scale";"AU";"Area_km2";"Substance";"Type";"Matrix";"CR";"ConfThresh";"CountStations";"CountData";"ConfSpatial";"ConfMethod";"ConfTemp"
4;"DEN-001";71.8675112759;"BAP";"Org";"Biota";0.110348635;"H";3;3;"H";"H";"L"
4;"DEN-001";71.8675112759;"CD";"HM";"Biota";1.036142271;"H";3;3;"H";"M";"M"
4;"DEN-001";71.8675112759;"FLU";"Org";"Biota";0.127425155;"H";3;3;"H";"L";"M"
4;"DEN-001";71.8675112759;"HBCD";"Org";"Biota";0.003789083;"H";1;1;"H";"M";"H"
4;"DEN-001";71.8675112759;"HG";"HM";"Biota";1.108511697;"H";3;4;"H";"L";"H"
4;"DEN-001";71.8675112759;"HG";"HM";"Biota";1.501212574;"H";3;4;"H";"L";"H"
4;"DEN-001";71.8675112759;"PB";"HM";"Biota";1.600578816;"H";3;4;"H";"M";"L"
4;"DEN-001";71.8675112759;"PB";"HM";"Biota";1.448723776;"H";3;4;"H";"H";"L"
4;"DEN-001";71.8675112759;"PFOS";"Org";"Biota";0.048989769;"H";1;1;"H";"M";"H"
4;"DEN-001";71.8675112759;"SBD6";"Org";"Biota";121.5535363;"H";1;1;"H";"M";"M"
4;"DEN-001";71.8675112759;"SCB6";"Org";"Biota";1.083419309;"H";1;1;"H";"H";"H"
4;"DEN-001";71.8675112759;"SDX";"Org";"Biota";0.558973152;"H";1;1;"H";"L";"M"
4;"DEN-001";71.8675112759;"BAP";"Org";"Biota";0.315068208;"H";3;3;"H";"M";"L"
4;"DEN-001";71.8675112759;"CD";"HM";"Biota";1.989530836;"H";3;3;"H";"H";"L"
4;"DEN-001";71.8675112759;"FLU";"Org";"Biota";0.105504977;"H";3;3;"H";"M";"H"
4;"DEN-001";71.8675112759;"HG";"HM";"Biota";0.495511635;"H";3;4;"H";"L";"L"
4;"DEN-001";71.8675112759;"PB";"HM";"Biota";1.234077335;"H";3;4;"H";"H";"M"
4;"DEN-001";71.8675112759;"ANT";"Org";"Sediment";1.348720801;"H";1;1;"H";"H";"M"
4;"DEN-001";71.8675112759;"BAP";"Org";"Biota";0.176635217;"H";3;3;"H";"M";"L"
4;"DEN-001";71.8675112759;"CD";"HM";"Biota";1.578436727;"H";3;3;"H";"H";"L"
4;"DEN-001";71.8675112759;"CD";"HM";"Sediment";1.565788759;"H";1;1;"H";"L";"M"
