"AU_scale";"AU";"Area_km2";"Substance";"Type";"Matrix";"CR";"ConfThresh";"CountStations";"CountData";"ConfSpatial";"ConfMethod";"ConfTemp"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SBD6";"Org";"Biota";1237.322515;"H";7;8;"M";"M";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SBD6";"Org";"Biota";104.3245842;"H";7;8;"M";"L";"M"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SCB6";"Org";"Biota";0.963218391;"H";7;8;"M";"M";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SCB6";"Org";"Biota";0.241779357;"H";7;8;"M";"M";"M"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HG";"HM";"Biota";6.172934291;"H";10;10;"M";"M";"M"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SBD6";"Org";"Biota";352.9411765;"H";7;8;"M";"H";"L"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SCB6";"Org";"Biota";0.176;"H";7;8;"M";"L";"L"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HG";"HM";"Biota";3;"H";10;10;"M";"M";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"CS-137";"Rad";"Water";0.808333333;"H";1;1;"L";"M";"L"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HG";"HM";"Biota";6.5;"H";10;10;"M";"M";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HG";"HM";"Biota";14.73091986;"H";10;10;"M";"L";"L"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SBD6";"Org";"Biota";600.4901961;"H";7;8;"M";"H";"M"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SCB6";"Org";"Biota";0.359722222;"H";7;8;"M";"H";"L"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HG";"HM";"Biota";18.23458253;"H";10;10;"M";"H";"L"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SBD6";"Org";"Biota";569.259962;"H";7;8;"M";"L";"L"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SCB6";"Org";"Biota";0.376344086;"H";7;8;"M";"H";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"HBCD";"Org";"Biota";0.003344701;"H";3;3;"M";"H";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"HG";"HM";"Biota";1.788863117;"H";4;4;"M";"L";"H"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"PB";"HM";"Biota";0.086672655;"H";3;3;"M";"H";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"PFOS";"Org";"Biota";0.054053571;"H";3;3;"M";"L";"H"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SBD6";"Org";"Biota";41.13734387;"H";4;4;"M";"L";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SCB6";"Org";"Biota";0.076885435;"H";4;4;"M";"H";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SDX";"Org";"Biota";0.337395543;"H";3;3;"M";"L";"H"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"HBCD";"Org";"Biota";0.002282391;"H";3;3;"M";"M";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"HG";"HM";"Biota";1.827869389;"H";4;4;"M";"L";"H"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"PB";"HM";"Biota";0.303100342;"H";3;3;"M";"L";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"PFOS";"Org";"Biota";0.055271182;"H";3;3;"M";"H";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SBD6";"Org";"Biota";59.91855395;"H";4;4;"M";"M";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SCB6";"Org";"Biota";0.074791155;"H";4;4;"M";"M";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SDX";"Org";"Biota";0.312059638;"H";3;3;"M";"M";"H"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"HBCD";"Org";"Biota";0.002085452;"H";3;3;"M";"L";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"HG";"HM";"Biota";1.396243744;"H";4;4;"M";"M";"H"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"PB";"HM";"Biota";0.352063615;"H";3;3;"M";"H";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"PFOS";"Org";"Biota";0.056232095;"H";3;3;"M";"M";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SBD6";"Org";"Biota";39.97292373;"H";4;4;"M";"M";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SCB6";"Org";"Biota";0.061350085;"H";4;4;"M";"M";"H"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SDX";"Org";"Biota";0.289253294;"H";3;3;"M";"M";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"HG";"HM";"Biota";6.982120022;"H";4;4;"M";"M";"H"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SBD6";"Org";"Biota";294.1176471;"H";4;4;"M";"M";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SCB6";"Org";"Biota";0.159649123;"H";4;4;"M";"H";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"CS-137";"Rad";"Biota";1.92;"H";2;2;"M";"H";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"CS-137";"Rad";"Biota";2.08028;"H";2;2;"M";"L";"L"
3;"The Quark Finnish Coastal waters";3404.89563885;"HG";"HM";"Biota";5;"H";4;4;"M";"M";"L"
3;"The Quark Finnish Coastal waters";3404.89563885;"SBD6";"Org";"Biota";70.02135823;"H";2;2;"M";"M";"L"
3;"The Quark Finnish Coastal waters";3404.89563885;"SCB6";"Org";"Biota";0.232629995;"H";2;2;"M";"L";"L"
3;"The Quark Finnish Coastal waters";3404.89563885;"HG";"HM";"Biota";5.744562647;"H";4;4;"M";"L";"L"
3;"The Quark Finnish Coastal waters";3404.89563885;"HG";"HM";"Biota";2.5;"H";4;4;"M";"M";"L"
3;"The Quark Finnish Coastal waters";3404.89563885;"CS-137";"Rad";"Biota";2.0269;"H";1;1;"M";"M";"H"
3;"The Quark Finnish Coastal waters";3404.89563885;"HBCD";"Org";"Biota";0.001530273;"H";1;1;"M";"H";"H"
3;"The Quark Finnish Coastal waters";3404.89563885;"HG";"HM";"Biota";2;"H";4;4;"M";"H";"M"
3;"The Quark Finnish Coastal waters";3404.89563885;"PB";"HM";"Biota";0.384615385;"H";1;1;"M";"H";"H"
3;"The Quark Finnish Coastal waters";3404.89563885;"PFOS";"Org";"Biota";0.322303395;"H";1;3;"M";"L";"M"
3;"The Quark Finnish Coastal waters";3404.89563885;"PFOS";"Org";"Biota";0.547252747;"H";1;3;"M";"H";"H"
3;"The Quark Finnish Coastal waters";3404.89563885;"PFOS";"Org";"Biota";0.62313797;"H";1;3;"M";"H";"L"
3;"The Quark Finnish Coastal waters";3404.89563885;"SBD6";"Org";"Biota";88.10457516;"H";2;2;"M";"H";"M"
3;"The Quark Finnish Coastal waters";3404.89563885;"SCB6";"Org";"Biota";0.509185185;"H";2;2;"M";"H";"M"
3;"The Quark Swedish Coastal waters";1894.20339705;"HBCD";"Org";"Biota";0.001203764;"H";2;2;"M";"M";"M"
3;"The Quark Swedish Coastal waters";1894.20339705;"HG";"HM";"Biota";1.320703402;"H";2;3;"M";"H";"M"
3;"The Quark Swedish Coastal waters";1894.20339705;"HG";"HM";"Biota";2.824370216;"H";2;3;"M";"M";"M"
3;"The Quark Swedish Coastal waters";1894.20339705;"PB";"HM";"Biota";0.136198996;"H";2;3;"M";"H";"H"
3;"The Quark Swedish Coastal waters";1894.20339705;"PB";"HM";"Biota";0.047179033;"H";2;3;"M";"M";"M"
