"Station";"longitude";"latitude";"Matrix";"Substance";"Type";"CR";"Units";"Response";"ConfThresh";"ConfStatus";"Datatype"
"M39";11.195;55.245;"Biota";"HG";"HM";0.471228832;"All";"+";"H";"H";"All"
"M39";11.195;55.245;"Biota";"PB";"HM";1.205788443;"All";"+";"H";"H";"All"
"Måderviken Bromarv";23.10684;60.0167;"Biota";"HG";"HM";7.673982017;"All";"+";"H";"H";"All"
"MCR210015";10.92633;55.72283;"Biota";"BAP";"Org";0.142464031;"All";"+";"H";"H";"All"
"MCR210015";10.92633;55.72283;"Biota";"CD";"HM";1.175341573;"All";"+";"H";"H";"All"
"MCR210015";10.92633;55.72283;"Biota";"FLU";"Org";0.080849655;"All";"+";"H";"H";"All"
"MCR210015";10.92633;55.72283;"Biota";"HG";"HM";1.066549802;"All";"+";"H";"H";"All"
"MCR210015";10.92633;55.72283;"Biota";"PB";"HM";1.541209942;"All";"+";"H";"H";"All"
"MCR220011";12.42817;55.388;"Sediment";"ANT";"Org";2.28960396;"All";"+";"H";"H";"All"
"MCR220011";12.42817;55.388;"Sediment";"CD";"HM";0.611980875;"All";"+";"H";"H";"All"
"MCR220011";12.42817;55.388;"Sediment";"PB";"HM";0.150335094;"All";"+";"H";"H";"All"
"MCR230003-1";12.65367;55.81017;"Sediment";"ANT";"Org";2.976190476;"All";"+";"H";"H";"All"
"MCR230004";12.64083;55.71583;"Sediment";"ANT";"Org";4.011627907;"All";"+";"H";"H";"All"
"MCR230009";12.55673;55.96072;"Sediment";"ANT";"Org";1.416666667;"All";"+";"H";"H";"All"
"MCR230010";12.566;55.96817;"Biota";"HBCD";"Org";0.000670301;"All";"+";"H";"H";"All"
"MCR230010";12.566;55.96817;"Biota";"HG";"HM";8.56439902;"All";"+";"H";"H";"All"
"MCR230010";12.566;55.96817;"Biota";"PB";"HM";1.185922678;"All";"+";"H";"H";"All"
"MCR230010";12.566;55.96817;"Biota";"PFOS";"Org";0.025277622;"All";"+";"H";"H";"All"
"MCR230010";12.566;55.96817;"Biota";"SBD6";"Org";44.38945392;"All";"+";"H";"H";"All"
